COLLEGE,GENDER,HEAD COUNT
Algonquin College,Female,"7,537"
Algonquin College,Male,"8,492"
Algonquin College,Unknown,39
Algonquin College,TOTAL,"16,068"
Collège Boréal,Female,"1,001"
Collège Boréal,Male,563
Collège Boréal,TOTAL,"1,564"
Cambrian College,Female,"2,257"
Cambrian College,Male,"2,401"
Cambrian College,TOTAL,"4,659"
Canadore College,Female,"1,380"
Canadore College,Male,"1,171"
Canadore College,TOTAL,"2,552"
Centennial College,Female,"6,383"
Centennial College,Male,"6,911"
Centennial College,Unknown,22
Centennial College,TOTAL,"13,316"
La Cité collégiale,Female,"2,294"
La Cité collégiale,Male,"2,133"
La Cité collégiale,TOTAL,"4,427"
Conestoga College,Female,"5,074"
Conestoga College,Male,"5,387"
Conestoga College,TOTAL,"10,461"
Confederation College,Female,"1,745"
Confederation College,Male,"1,480"
Confederation College,TOTAL,"3,226"
Durham College,Female,"4,304"
Durham College,Male,"4,439"
Durham College,Unknown,76
Durham College,TOTAL,"8,819"
Fanshawe College,Female,"6,891"
Fanshawe College,Male,"7,337"
Fanshawe College,TOTAL,"14,228"
George Brown College,Female,"9,420"
George Brown College,Male,"7,769"
George Brown College,Unknown,64
George Brown College,TOTAL,"17,253"
Georgian College,Female,"5,199"
Georgian College,Male,"4,488"
Georgian College,TOTAL,"9,687"
Humber College,Female,"11,538"
Humber College,Male,"11,552"
Humber College,Unknown,43
Humber College,TOTAL,"23,133"
Lambton College,Female,"1,836"
Lambton College,Male,"1,641"
Lambton College,TOTAL,"3,484"
Loyalist College,Female,"1,555"
Loyalist College,Male,"1,241"
Loyalist College,TOTAL,"2,796"
Mohawk College,Female,"5,560"
Mohawk College,Male,"6,561"
Mohawk College,Unknown,44
Mohawk College,TOTAL,"12,165"
Niagara College,Female,"4,190"
Niagara College,Male,"4,406"
Niagara College,Unknown,40
Niagara College,TOTAL,"8,636"
Northern College,Female,913
Northern College,Male,392
Northern College,TOTAL,"1,305"
St. Clair College,Female,"4,506"
St. Clair College,Male,"3,545"
St. Clair College,TOTAL,"8,058"
St. Lawrence College,Female,"3,777"
St. Lawrence College,Male,"2,177"
St. Lawrence College,Unknown,10
St. Lawrence College,TOTAL,"5,964"
Sault College,Female,"1,160"
Sault College,Male,"1,190"
Sault College,TOTAL,"2,350"
Seneca College,Female,"10,160"
Seneca College,Male,"9,655"
Seneca College,Unknown,22
Seneca College,TOTAL,"19,837"
Sheridan College,Female,"8,605"
Sheridan College,Male,"8,332"
Sheridan College,Unknown,169
Sheridan College,TOTAL,"17,106"
Sir Sandford Fleming College,Female,"2,927"
Sir Sandford Fleming College,Male,"2,857"
Sir Sandford Fleming College,TOTAL,"5,787"
TOTAL,,"216,881"
