COLLEGE,MOTHER TONGUE,HEAD COUNT
Algonquin College,English,"14,496"
Algonquin College,French,476
Algonquin College,Other,"1,096"
Algonquin College,TOTAL,"16,068"
Collège Boréal,English,222
Collège Boréal,Unknown,20
Collège Boréal,French,"1,321"
Collège Boréal,TOTAL,"1,564"
Cambrian College,English,"4,411"
Cambrian College,Unknown,51
Cambrian College,French,197
Cambrian College,TOTAL,"4,659"
Canadore College,English,"2,274"
Canadore College,Unknown,187
Canadore College,French,91
Canadore College,TOTAL,"2,552"
Centennial College,English,"7,224"
Centennial College,Unknown,"2,307"
Centennial College,French,45
Centennial College,Other,"3,740"
Centennial College,TOTAL,"13,316"
La Cité collégiale,English,146
La Cité collégiale,Unknown,133
La Cité collégiale,French,"4,140"
La Cité collégiale,TOTAL,"4,427"
Conestoga College,English,"9,796"
Conestoga College,Unknown,633
Conestoga College,French,28
Conestoga College,TOTAL,"10,461"
Confederation College,English,"3,173"
Confederation College,French,12
Confederation College,Other,41
Confederation College,TOTAL,"3,226"
Durham College,English,"8,313"
Durham College,Unknown,296
Durham College,French,28
Durham College,English & French,182
Durham College,TOTAL,"8,819"
Fanshawe College,English,"12,730"
Fanshawe College,Unknown,"1,456"
Fanshawe College,French,42
Fanshawe College,TOTAL,"14,228"
George Brown College,English,"8,201"
George Brown College,Unknown,"7,930"
George Brown College,French,36
George Brown College,Other,"1,086"
George Brown College,TOTAL,"17,253"
Georgian College,English,"8,817"
Georgian College,Unknown,802
Georgian College,French,68
Georgian College,TOTAL,"9,687"
Humber College,English,"19,513"
Humber College,French,95
Humber College,Other,"3,523"
Humber College,TOTAL,"23,133"
Lambton College,English,339
Lambton College,Unknown,"3,139"
Lambton College,TOTAL,"3,484"
Loyalist College,English,"2,695"
Loyalist College,Unknown,86
Loyalist College,French,15
Loyalist College,TOTAL,"2,796"
Mohawk College,English,"8,966"
Mohawk College,Unknown,"1,957"
Mohawk College,French,38
Mohawk College,Other,"1,204"
Mohawk College,TOTAL,"12,165"
Niagara College,Unknown,"8,636"
Niagara College,TOTAL,"8,636"
Northern College,Unknown,"1,305"
Northern College,TOTAL,"1,305"
St. Clair College,Unknown,"8,058"
St. Clair College,TOTAL,"8,058"
St. Lawrence College,Unknown,"5,964"
St. Lawrence College,TOTAL,"5,964"
Sault College,Unknown,"2,350"
Sault College,TOTAL,"2,350"
Seneca College,English,"13,759"
Seneca College,Unknown,"2,993"
Seneca College,French,64
Seneca College,Other,"3,021"
Seneca College,TOTAL,"19,837"
Sheridan College,English,"17,053"
Sheridan College,French,53
Sheridan College,TOTAL,"17,106"
Sir Sandford Fleming College,Unknown,"5,787"
Sir Sandford Fleming College,TOTAL,"5,787"
TOTAL,,"216,881"
