UNIVERSITY,MOTHER TONGUE,HEAD COUNT
Algoma,English,859
Algoma,French,14
Algoma,Unknown,233
Algoma,Total,"1,106"
Brock,English,"13,341"
Brock,French,116
Brock,Unknown,"2,397"
Brock,Total,"15,854"
Carleton,English,"17,527"
Carleton,French,587
Carleton,Unknown,40
Carleton,Other,"4,282"
Carleton,Total,"22,436"
Guelph,English,"21,859"
Guelph,French,227
Guelph,Unknown,"2,834"
Guelph,Total,"24,920"
Lakehead,English,"6,563"
Lakehead,French,76
Lakehead,Other,460
Lakehead,Total,"7,100"
Laurentian,English,"4,880"
Laurentian,French,"1,262"
Laurentian,Other,606
Laurentian,Total,"6,753"
McMaster,English,"18,390"
McMaster,French,188
McMaster,Unknown,"7,215"
McMaster,Total,"25,793"
Nipissing,English,"3,595"
Nipissing,French,79
Nipissing,Other,67
Nipissing,Unknown,25
Nipissing,Total,"3,766"
NOSM,English,330
NOSM,French,20
NOSM,Other,11
NOSM,Unknown,26
NOSM,Total,387
OCAD,English,"2,563"
OCAD,French,38
OCAD,Unknown,970
OCAD,Total,"3,571"
Ottawa,English,"19,350"
Ottawa,French,"9,559"
Ottawa,Other,"6,223"
Ottawa,Total,"35,132"
"Queen""s",English,"17,240"
"Queen""s",French,231
"Queen""s",Unknown,"3,578"
"Queen""s",Total,"21,049"
Ryerson,English,"15,437"
Ryerson,French,126
Ryerson,Other,"5,697"
Ryerson,Unknown,"1,468"
Ryerson,Total,"22,728"
Toronto,English,"44,102"
Toronto,French,755
Toronto,Other,"28,256"
Toronto,Unknown,102
Toronto,Total,"73,215"
Trent,English,"6,010"
Trent,French,47
Trent,Unknown,767
Trent,Total,"6,824"
UOIT,Unknown,"8,472"
UOIT,Total,"8,472"
Waterloo,English,"19,968"
Waterloo,French,297
Waterloo,Unknown,"9,906"
Waterloo,Other,"2,016"
Waterloo,Total,"32,187"
Western,English,"26,456"
Western,French,183
Western,Other,"5,772"
Western,Unknown,"1,075"
Western,Total,"33,486"
Wilfrid Laurier,English,"14,079"
Wilfrid Laurier,French,96
Wilfrid Laurier,Other,"1,925"
Wilfrid Laurier,Unknown,103
Wilfrid Laurier,Total,"16,203"
Windsor,English,"10,251"
Windsor,French,146
Windsor,Unknown,"3,313"
Windsor,Total,"13,710"
York,English,"30,108"
York,French,639
York,Other,"13,353"
York,Unknown,"1,062"
York,Total,"45,164"
Dominician,English,54
Dominician,French,42
Dominician,Other,10
Dominician,MOTHER TONGUE,107
Total,,"419,963"
