Board Number,Board Name,Grade 9 Enrolment,Grade 10 Enrolment,Grade 11 Enrolment,Grade 12 Enorlment,Total Enrolment
B28010,Algoma DSB,804,851,893,1464,4012
B67202,Algonquin and Lakeshore CDSB,912,848,1133,1464,4357
B66010,Avon Maitland DSB,1366,1326,1460,2227,6379
B66001,Bluewater DSB,1278,1284,1319,2169,6050
B67164,Brant Haldimand Norfolk CDSB,795,840,861,1232,3728
B67008,Bruce-Grey CDSB,298,269,307,434,1308
B67172,CDSB of Eastern Ontario,1098,1052,1081,1406,4637
B66311,CêP de l'Est de l'Ontario,860,967,924,1196,3947
B67300,Conseil scolaire catholique Providence,364,404,360,452,1580
B66303,CS Viamonde,418,383,385,438,1624
B28118,CSD du Grand Nord de l'Ontario,136,136,165,268,705
B28100,CSD du Nord-Est de l'Ontario,94,99,90,167,450
B67318,CSDC Centre-Sud,741,680,712,728,2861
B67326,CSDC de l'Est ontarien,759,786,827,1082,3454
B29130,CSDC des Aurores borÇales,33,22,16,28,99
B29106,CSDC des Grandes Riviäres,498,515,496,608,2117
B67334,CSDC du Centre-Est de l'Ontario,1256,1181,1171,1157,4765
B29122,CSDC du Nouvel-Ontario,459,474,506,497,1936
B29114,CSDC Franco-Nord,223,204,214,302,943
B66150,DSB Niagara,2842,2762,3093,4923,13620
B28002,DSB Ontario North East,694,775,786,1233,3488
B67083,Dufferin-Peel CDSB,7633,7826,8219,10493,34171
B67105,Durham CDSB,1681,1876,2001,2607,8165
B66060,Durham DSB,5120,5216,5288,7568,23192
B66168,Grand Erie DSB,2049,2159,2268,3514,9990
B66028,Greater Essex County DSB,2915,2753,2908,3975,12551
B67113,Halton CDSB,2410,2353,2353,3170,10286
B66133,Halton DSB,4064,4147,4239,6425,18875
B67121,Hamilton-Wentworth CDSB,2298,2349,2301,4234,11182
B66141,Hamilton-Wentworth DSB,3617,3651,3800,5904,16972
B66222,Hastings & Prince Edward DSB,1189,1276,1318,1962,5745
B67016,Huron Perth CDSB,328,300,306,485,1419
B29025,Huron-Superior CDSB,360,348,298,481,1487
B15148,James Bay Lowlands SSB,48,69,53,34,204
B66079,Kawartha Pine Ridge DSB,2506,2484,2753,4539,12282
B28045,Keewatin-Patricia DSB,462,482,558,826,2328
B29050,Kenora CDSB,113,103,88,117,421
B28061,Lakehead DSB,795,736,897,1193,3621
B66036,Lambton Kent DSB,1869,1937,1937,2853,8596
B66206,Limestone DSB,1491,1469,1671,3247,7878
B67032,London District Catholic School Board,1548,1692,1800,2583,7623
B28037,Near North DSB,843,872,884,1322,3921
B67156,Niagara CDSB,1843,1762,1832,2538,7975
B29017,Nipissing-Parry Sound CDSB,229,171,191,312,903
B29009,Northeastern CDSB,105,88,108,160,461
B67180,Ottawa CDSB,3140,3472,3576,4511,14699
B66184,Ottawa-Carleton DSB,5348,5422,5615,8359,24744
B66125,Peel DSB,11803,11523,11871,9967,45164
B67067,Peterborough Victoria Northumberland and Clarington CDSB,1150,1147,1193,1457,4947
B28029,Rainbow DSB,1070,1217,1206,1956,5449
B28053,Rainy River DSB,267,265,256,422,1210
B67199,Renfrew County CDSB,260,231,255,365,1111
B66214,Renfrew County DSB,798,814,943,1312,3867
B66109,Simcoe County DSB,3775,3852,3997,5772,17396
B67091,Simcoe Muskoka CDSB,1694,1756,1906,2371,7727
B67040,St Clair CDSB,610,631,648,927,2816
B29033,Sudbury CDSB,542,538,494,596,2170
B28070,Superior-Greenstone DSB,209,215,174,284,882
B66044,Thames Valley DSB,5440,5504,5546,8941,25431
B29068,Thunder Bay CDSB,595,586,596,715,2492
B67059,Toronto CDSB,6961,7252,7147,9572,30932
B66052,Toronto DSB,17416,18315,19674,28129,83534
B66087,Trillium Lakelands DSB,1380,1540,1644,2243,6807
B66192,Upper Canada DSB,2095,2240,2407,4558,11300
B66117,Upper Grand DSB,2670,2626,2684,4154,12134
B67148,Waterloo CDSB,1572,1492,1678,2242,6984
B66176,Waterloo Region DSB,4560,4671,4845,7263,21339
B67130,Wellington CDSB,587,548,635,835,2605
B67024,Windsor-Essex CDSB,1847,1933,2038,2613,8431
B67075,York CDSB,4399,4589,4502,4950,18440
B66095,York Region DSB,8565,9002,9510,12601,39678
