Board Number,Board Name,Core Elementary,Core Secondary,Core Total,Extended Elementary,Extended Secondary,Extended Total,Immersion Elementary,Immersion Secondary,Immersion Total,Total Elementary,Total Secondary,Total Enrolment
B28010,Algoma DSB,4136,414,4550,16,,16,878,183,1061,5030,597,5627
B67202,Algonquin and Lakeshore CDSB,5327,974,6301,,117,117,934,85,1019,6261,1176,7437
B66010,Avon Maitland DSB,5197,1437,6634,,,,307,68,375,5504,1505,7009
B66001,Bluewater DSB,5313,911,6224,,<10,SP,1228,108,1336,6541,SP,SP
B67164,Brant Haldimand Norfolk CDSB,3281,609,3890,,,,172,,172,3453,609,4062
B67008,Bruce-Grey CDSB,1925,297,2222,,,,453,132,585,2378,429,2807
B67172,CDSB of Eastern Ontario,4684,815,5499,375,400,775,3656,443,4099,8715,1658,10373
B66150,DSB Niagara,11249,1754,13003,,769,769,1286,,1286,12535,2523,15058
B28002,DSB Ontario North East,2453,553,3006,<10,,SP,1633,222,1855,SP,775,SP
B67083,Dufferin-Peel CDSB,25505,10074,35579,1656,1045,2701,794,,794,27955,11119,39074
B67105,Durham CDSB,7055,1145,8200,91,,91,931,279,1210,8077,1424,9501
B66060,Durham DSB,21146,3190,24336,,,,4756,988,5744,25902,4178,30080
B66168,Grand Erie DSB,8718,2444,11162,,,,921,155,1076,9639,2599,12238
B66028,Greater Essex County DSB,10961,2243,13204,,50,50,3157,312,3469,14118,2605,16723
B67113,Halton CDSB,9428,2599,12027,916,315,1231,,,,10344,2914,13258
B66133,Halton DSB,15202,4417,19619,,74,74,8212,1669,9881,23414,6160,29574
B67121,Hamilton-Wentworth CDSB,9294,1439,10733,,,,899,125,1024,10193,1564,11757
B66141,Hamilton-Wentworth DSB,16478,2367,18845,,,,2569,365,2934,19047,2732,21779
B66222,Hastings & Prince Edward DSB,4765,1313,6078,52,,52,507,177,684,5324,1490,6814
B67016,Huron Perth CDSB,2228,318,2546,,,,365,104,469,2593,422,3015
B29025,Huron-Superior CDSB,2253,319,2572,,,,932,92,1024,3185,411,3596
B15148,James Bay Lowlands SSB,,19,19,,,,,,,,19,19
B66079,Kawartha Pine Ridge DSB,9740,3188,12928,479,89,568,2607,523,3130,12826,3800,16626
B28045,Keewatin-Patricia DSB,1171,132,1303,,,,,20,20,1171,152,1323
B29050,Kenora CDSB,404,47,451,,,,355,73,428,759,120,879
B28061,Lakehead DSB,2831,1061,3892,,<10,SP,667,133,800,3498,SP,SP
B66036,Lambton Kent DSB,10770,1646,12416,,13,13,1482,311,1793,12252,1970,14222
B66206,Limestone DSB,6877,1244,8121,,92,92,1787,324,2111,8664,1660,10324
B67032,London District Catholic School Board,9539,1052,10591,,,,951,346,1297,10490,1398,11888
B28037,Near North DSB,4685,426,5111,168,207,375,900,81,981,5753,714,6467
B67156,Niagara CDSB,12479,2554,15033,57,,57,,,,12536,2554,15090
B29017,Nipissing-Parry Sound CDSB,864,81,945,252,,252,544,103,647,1660,184,1844
B29009,Northeastern CDSB,1092,61,1153,,36,36,594,<10,SP,1686,101,1787
B29041,Northwest CDSB,508,,508,,,,193,,193,701,,701
B67180,Ottawa CDSB,3250,1607,4857,11048,,11048,9340,3018,12358,23638,4625,28263
B66184,Ottawa-Carleton DSB,25752,6171,31923,,652,652,21776,4148,25924,47528,10971,58499
B66125,Peel DSB,49143,6497,55640,587,498,1085,11107,922,12029,60837,7917,68754
B79910,Penetanguishene PSSB,105,,105,,,,,,,105,,105
B67067,Peterborough Victoria Northumberland CDSB,4274,657,4931,,,,1335,325,1660,5609,982,6591
B28029,Rainbow DSB,4747,517,5264,,,,2384,571,2955,7131,1088,8219
B28053,Rainy River DSB,695,127,822,,,,,15,15,695,142,837
B67199,Renfrew County CDSB,3454,318,3772,53,,53,,,,3507,318,3825
B66214,Renfrew County DSB,5099,1183,6282,113,193,306,545,<10,SP,5757,1382,7139
B66109,Simcoe County DSB,16710,2411,19121,1117,663,1780,,,,17827,3074,20901
B67091,Simcoe Muskoka CDSB,10846,1057,11903,,,,,,,10846,1057,11903
B67040,St Clair CDSB,5794,352,6146,,,,642,121,763,6436,473,6909
B29033,Sudbury CDSB,1574,352,1926,,,,1289,326,1615,2863,678,3541
B29076,Superior North CDSB,522,,522,<10,,SP,,,,SP,,SP
B28070,Superior-Greenstone DSB,567,215,782,,,,,,,567,215,782
B66044,Thames Valley DSB,23349,4563,27912,,171,171,4221,595,4816,27570,5329,32899
B29068,Thunder Bay CDSB,2372,748,3120,,,,872,137,1009,3244,885,4129
B67059,Toronto CDSB,46122,5136,51258,,966,966,3623,99,3722,49745,6201,55946
B66052,Toronto DSB,71705,18158,89863,4255,1552,5807,14279,2298,16577,90239,22008,112247
B66087,Trillium Lakelands DSB,5143,732,5875,,92,92,1235,158,1393,6378,982,7360
B66192,Upper Canada DSB,11413,1029,12442,,794,794,6600,431,7031,18013,2254,20267
B66117,Upper Grand DSB,9707,3112,12819,,39,39,3050,547,3597,12757,3698,16455
B67148,Waterloo CDSB,7645,1766,9411,,,,,,,7645,1766,9411
B66176,Waterloo Region DSB,27496,5428,32924,753,466,1219,4153,321,4474,32402,6215,38617
B67130,Wellington CDSB,3114,395,3509,,,,,,,3114,395,3509
B67024,Windsor-Essex CDSB,7895,1770,9665,,,,628,274,902,8523,2044,10567
B67075,York CDSB,30190,5775,35965,,,,479,,479,30669,5775,36444
B66095,York Region DSB,36617,5928,42545,,,,8885,1785,10670,45502,7713,53215
