Board Number,Board Name,JK,K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Total Elementary,Total Secondary,Total Enrolment
B28010,Algoma DSB,658,649,652,602,610,617,651,655,676,714,868,882,953,1525,6484,4228,10712
B67202,Algonquin and Lakeshore CDSB,776,720,724,755,713,759,761,776,786,794,861,951,1224,1423,7564,4459,12023
B66010,Avon Maitland DSB,973,1004,1021,1019,1018,1030,1076,1043,1106,1213,1299,1435,1543,2237,10503,6514,17017
B66001,Bluewater DSB,1104,1134,1132,1127,1071,1098,1228,1136,1233,1343,1281,1329,1386,2358,11606,6354,17960
B67164,Brant Haldimand Norfolk CDSB,584,592,605,661,623,646,680,673,708,696,864,891,946,1278,6468,3979,10447
B67008,Bruce-Grey CDSB,245,206,249,220,244,213,249,246,244,271,274,312,280,497,2387,1363,3750
B67172,CDSB of Eastern Ontario,746,784,817,789,888,864,965,957,1108,1185,1095,1124,1156,1461,9103,4836,13939
B66311,CÉP de l'Est de l'Ontario,1042,1053,982,900,812,822,724,709,781,724,828,867,947,1343,8549,3985,12534
B66303,CS Viamonde,1004,1008,929,832,766,653,650,581,473,496,396,388,391,416,7392,1591,8983
B67300,CSD des écoles catholiques du Sud-Ouest,847,888,899,796,719,662,613,595,607,484,421,360,386,420,7110,1587,8697
B28118,CSD du Grand Nord de l'Ontario,190,168,154,177,162,120,143,134,149,144,116,165,201,267,1541,749,2290
B28100,CSD du Nord-Est de l'Ontario,198,147,171,140,136,138,136,148,147,127,108,90,104,151,1488,453,1941
B67318,CSDC Centre-Sud,1244,1283,1308,1193,1166,1073,1067,937,995,894,722,747,669,711,11160,2849,14009
B67326,CSDC de l'Est ontarien,781,716,754,733,678,673,735,684,739,721,795,838,871,1064,7214,3568,10782
B29130,CSDC des Aurores boréales,69,85,66,65,77,63,58,46,59,45,23,14,29,17,633,83,716
B29106,CSDC des Grandes Rivières,404,455,402,398,421,432,441,452,484,487,529,500,563,605,4376,2197,6573
B67334,CSDC du Centre-Est de l'Ontario,1776,1814,1646,1626,1543,1539,1432,1433,1286,1305,1209,1199,1153,1131,15400,4692,20092
B29122,CSDC du Nouvel-Ontario,525,606,512,525,519,506,495,485,446,460,488,527,461,544,5079,2020,7099
B29114,CSDC Franco-Nord,191,200,168,194,179,207,211,205,202,214,201,216,231,345,1971,993,2964
B66150,DSB Niagara,2230,2239,2277,2364,2359,2362,2609,2480,2622,2786,2717,3024,3334,5091,24328,14166,38494
B28002,DSB Ontario North East,419,433,438,435,416,427,433,496,473,487,741,763,782,1343,4457,3629,8086
B67083,Dufferin-Peel CDSB,4151,4323,4846,5027,4858,5042,5405,5462,5702,6020,7720,8064,8545,10094,50836,34423,85259
B67105,Durham CDSB,1242,1321,1339,1371,1467,1454,1547,1525,1617,1588,1832,1996,2034,2587,14471,8449,22920
B66060,Durham DSB,4144,4263,4543,4522,4652,4500,4830,4711,5003,5067,5167,5270,5812,7258,46235,23507,69742
B66168,Grand Erie DSB,1557,1712,1712,1661,1739,1696,1858,1807,1868,1915,2071,2279,2301,3502,17525,10153,27678
B66028,Greater Essex County DSB,2261,2281,2388,2312,2407,2313,2464,2487,2475,2546,2858,2827,2942,4028,23934,12655,36589
B67113,Halton CDSB,1737,1810,1918,2005,2049,1998,2143,1965,2122,2208,2355,2308,2389,3129,19955,10181,30136
B66133,Halton DSB,3756,3933,4170,4240,4200,4019,3916,3816,3859,3755,4050,4181,4136,6396,39664,18763,58427
B67121,Hamilton-Wentworth CDSB,1663,1671,1848,1808,1840,1848,1988,1891,1976,2009,2335,2335,2408,4135,18542,11213,29755
B66141,Hamilton-Wentworth DSB,3170,3336,3327,3352,3466,3280,3510,3455,3592,3836,3642,3790,3875,6101,34324,17408,51732
B66222,Hastings & Prince Edward DSB,980,1019,992,1028,1002,1027,1056,1051,1107,1171,1232,1282,1490,1999,10433,6003,16436
B67016,Huron Perth CDSB,297,299,309,317,302,303,318,305,326,344,297,305,374,472,3120,1448,4568
B29025,Huron-Superior CDSB,309,301,346,362,384,356,396,423,424,454,400,313,348,467,3755,1528,5283
B66079,Kawartha Pine Ridge DSB,2000,2056,2098,2190,2046,2238,2275,2241,2340,2505,2449,2731,2973,4637,21989,12790,34779
B28045,Keewatin-Patricia DSB,255,244,252,270,278,288,277,304,321,324,463,554,573,802,2813,2392,5205
B29050,Kenora CDSB,125,117,123,127,102,102,141,96,124,125,112,96,87,103,1182,398,1580
B28061,Lakehead DSB,563,570,665,579,620,578,629,624,729,712,734,915,922,1258,6269,3829,10098
B66036,Lambton Kent DSB,1389,1473,1426,1544,1440,1453,1586,1502,1551,1673,1890,1937,2046,2960,15037,8833,23870
B66206,Limestone DSB,1263,1307,1331,1265,1281,1331,1326,1336,1396,1457,1439,1651,1767,3302,13293,8159,21452
B67032,London District Catholic School Board,1072,1124,1150,1182,1258,1231,1335,1325,1365,1407,1701,1835,1961,2715,12449,8212,20661
B15199,Moose Factory Island DSAB,41,32,34,29,31,30,30,40,16,19,0,0,0,0,302,0,302
B15202,Moosonee DSAB,24,29,31,39,23,19,24,26,27,23,0,0,0,0,265,0,265
B28037,Near North DSB,596,658,642,668,611,679,682,691,735,796,894,902,966,1347,6758,4109,10867
B67156,Niagara CDSB,1370,1455,1486,1516,1562,1527,1607,1562,1659,1767,1790,1861,2067,2479,15511,8197,23708
B29017,Nipissing-Parry Sound CDSB,203,168,211,207,227,214,209,245,213,226,178,199,252,302,2123,931,3054
B29009,Northeastern CDSB,181,176,168,171,196,189,212,214,209,257,87,118,100,151,1973,456,2429
B29041,Northwest CDSB,140,149,152,133,117,128,131,158,141,165,0,0,0,0,1414,0,1414
B67180,Ottawa CDSB,1978,2130,2224,2276,2362,2356,2449,2473,2857,3015,3235,3365,3856,4383,24120,14839,38959
B66184,Ottawa-Carleton DSB,4355,4705,4792,5096,5045,4830,4884,4805,4661,4991,5365,5437,5763,8486,48164,25051,73215
B66125,Peel DSB,9821,10390,11210,11113,10959,10668,11173,10941,11143,11270,12516,11396,11689,9997,108688,45598,154286
B79910,Penetanguishene PSSB,29,17,24,22,26,21,23,22,21,21,0,0,0,0,226,0,226
B67067,Peterborough Victoria Northumberland and Clarington CDSB,907,915,903,892,903,882,1020,928,1001,1061,1166,1245,1205,1516,9412,5132,14544
B28029,Rainbow DSB,808,814,806,807,816,842,944,937,949,975,1181,1181,1284,1963,8698,5609,14307
B28053,Rainy River DSB,153,160,175,180,163,179,180,177,184,180,268,264,275,420,1731,1227,2958
B67199,Renfrew County CDSB,346,302,344,331,365,341,393,359,363,395,218,258,270,355,3539,1101,4640
B66214,Renfrew County DSB,563,566,550,590,597,611,617,589,637,622,810,870,991,1389,5942,4060,10002
B66109,Simcoe County DSB,3155,3269,3292,3354,3412,3355,3614,3440,3804,3794,3814,3932,4167,6181,34489,18094,52583
B67091,Simcoe Muskoka CDSB,1137,1269,1256,1298,1368,1344,1320,1333,1401,1535,1797,1960,1915,2350,13261,8022,21283
B67040,St Clair CDSB,536,619,618,636,649,639,655,653,740,745,649,666,705,942,6490,2962,9452
B29033,Sudbury CDSB,373,371,368,370,369,420,410,447,496,525,552,523,501,661,4149,2237,6386
B29076,Superior North CDSB,67,63,73,78,67,77,76,59,73,95,0,0,0,0,728,0,728
B28070,Superior-Greenstone DSB,89,79,76,67,83,80,76,103,107,90,215,181,205,300,850,901,1751
B66044,Thames Valley DSB,4797,4971,4884,4961,4894,4994,5141,5005,5321,5393,5496,5528,5923,8978,50361,25925,76286
B29068,Thunder Bay CDSB,540,527,539,533,562,595,608,603,605,638,593,616,622,717,5750,2548,8298
B67059,Toronto CDSB,5415,5570,5905,5805,6034,5904,6420,6327,6722,6707,7171,7083,7520,9360,60809,31134,91943
B66052,Toronto DSB,17883,18271,18030,17532,17087,16743,16783,16963,16270,17049,17859,19280,20424,28422,172611,85985,258596
B66087,Trillium Lakelands DSB,1077,992,1066,1031,1080,1036,1157,1179,1234,1217,1491,1449,1798,2310,11069,7048,18117
B66192,Upper Canada DSB,1739,1815,1732,1795,1831,1714,1810,1889,1918,1935,2237,2343,2613,4853,18178,12046,30224
B66117,Upper Grand DSB,2039,2288,2098,2155,2159,2138,2166,2192,2306,2292,2809,2638,2752,4051,21833,12250,34083
B67148,Waterloo CDSB,1301,1480,1430,1499,1486,1545,1527,1523,1600,1620,1485,1665,1659,2409,15011,7218,22229
B66176,Waterloo Region DSB,4095,4221,4252,4174,4138,3913,4188,4024,4150,4293,4564,4800,4932,7185,41448,21481,62929
B67130,Wellington CDSB,467,500,546,555,563,582,607,617,678,651,565,643,636,825,5766,2669,8435
B67024,Windsor-Essex CDSB,1140,1284,1375,1398,1454,1539,1618,1643,1698,1712,1889,2031,2284,2599,14861,8803,23664
B67075,York CDSB,3300,3487,3675,3803,3713,3875,3997,3872,3896,3965,4498,4474,4545,5013,37583,18530,56113
B66095,York Region DSB,6700,6821,7806,8054,7942,8168,8183,8345,8389,8456,8730,9236,9726,12822,78864,40514,119378
B15148,James Bay Lowlands SSB,0,0,0,0,0,0,0,0,0,0,41,68,47,29,0,185,185
