Board Number,Board Name,Elementary Male Enrolment,Elementary Female Enrolment,Secondary Male Enrolment,Secondary Female Enrolment,Total Male Enrolment,Total Female Enrolment,
B28010,Algoma DSB," 3,342 "," 3,142 "," 2,239 "," 1,989 "," 5,581 "," 5,131 ",
B67202,Algonquin and Lakeshore CDSB," 3,826 "," 3,738 "," 2,152 "," 2,307 "," 5,978 "," 6,045 ",
B66010,Avon Maitland DSB," 5,401 "," 5,102 "," 3,318 "," 3,196 "," 8,719 "," 8,298 ",
B66001,Bluewater DSB," 5,996 "," 5,610 "," 3,365 "," 2,989 "," 9,361 "," 8,599 ",
B67164,Brant Haldimand Norfolk CDSB," 3,238 "," 3,230 "," 1,922 "," 2,057 "," 5,160 "," 5,287 ",
B67008,Bruce-Grey CDSB," 1,247 "," 1,140 ", 649 , 714 ," 1,896 "," 1,854 ",
B67172,CDSB of Eastern Ontario," 4,658 "," 4,445 "," 2,536 "," 2,300 "," 7,194 "," 6,745 ",
B66311,CêP de l'Est de l'Ontario," 4,287 "," 4,262 "," 1,824 "," 2,161 "," 6,111 "," 6,423 ",
B66303,CS Viamonde," 3,579 "," 3,813 ", 777 , 814 ," 4,356 "," 4,627 ",
B67300,CSD des Çcoles catholiques du Sud-Ouest," 3,345 "," 3,765 ", 699 , 888 ," 4,044 "," 4,653 ",
B28118,CSD du Grand Nord de l'Ontario, 769 , 772 , 387 , 362 ," 1,156 "," 1,134 ",
B28100,CSD du Nord-Est de l'Ontario, 718 , 770 , 231 , 222 , 949 , 992 ,
B67318,CSDC Centre-Sud," 5,417 "," 5,743 "," 1,382 "," 1,467 "," 6,799 "," 7,210 ",
B67326,CSDC de l'Est ontarien," 3,652 "," 3,562 "," 1,692 "," 1,876 "," 5,344 "," 5,438 ",
B29130,CSDC des Aurores borÇales, 341 , 292 , 39 , 44 , 380 , 336 ,
B29106,CSDC des Grandes Riviäres," 2,151 "," 2,225 "," 1,119 "," 1,078 "," 3,270 "," 3,303 ",
B67334,CSDC du Centre-Est de l'Ontario," 7,519 "," 7,881 "," 2,300 "," 2,392 "," 9,819 "," 10,273 ",
B29122,CSDC du Nouvel-Ontario," 2,465 "," 2,614 ", 946 ," 1,074 "," 3,411 "," 3,688 ",
B29114,CSDC Franco-Nord, 959 ," 1,012 ", 481 , 512 ," 1,440 "," 1,524 ",
B66150,DSB Niagara," 12,531 "," 11,797 "," 7,363 "," 6,803 "," 19,894 "," 18,600 ",
B28002,DSB Ontario North East," 2,324 "," 2,133 "," 1,945 "," 1,684 "," 4,269 "," 3,817 ",
B67083,Dufferin-Peel CDSB," 26,102 "," 24,734 "," 17,732 "," 16,691 "," 43,834 "," 41,425 ",
B67105,Durham CDSB," 7,438 "," 7,033 "," 4,355 "," 4,094 "," 11,793 "," 11,127 ",
B66060,Durham DSB," 23,705 "," 22,530 "," 12,337 "," 11,170 "," 36,042 "," 33,700 ",
B66168,Grand Erie DSB," 9,104 "," 8,421 "," 5,258 "," 4,895 "," 14,362 "," 13,316 ",
B66028,Greater Essex County DSB," 12,458 "," 11,476 "," 6,771 "," 5,884 "," 19,229 "," 17,360 ",
B67113,Halton CDSB," 10,191 "," 9,764 "," 5,377 "," 4,804 "," 15,568 "," 14,568 ",
B66133,Halton DSB," 20,259 "," 19,405 "," 9,762 "," 9,001 "," 30,021 "," 28,406 ",
B67121,Hamilton-Wentworth CDSB," 9,482 "," 9,060 "," 5,716 "," 5,497 "," 15,198 "," 14,557 ",
B66141,Hamilton-Wentworth DSB," 17,703 "," 16,621 "," 9,265 "," 8,143 "," 26,968 "," 24,764 ",
B66222,Hastings & Prince Edward DSB," 5,317 "," 5,116 "," 3,189 "," 2,814 "," 8,506 "," 7,930 ",
B67016,Huron Perth CDSB," 1,584 "," 1,536 ", 706 , 742 ," 2,290 "," 2,278 ",
B29025,Huron-Superior CDSB," 1,925 "," 1,830 ", 815 , 713 ," 2,740 "," 2,543 ",
B15148,James Bay Lowlands SSB,,, 85 , 100 , 85 , 100 ,
B66079,Kawartha Pine Ridge DSB," 11,305 "," 10,684 "," 6,639 "," 6,151 "," 17,944 "," 16,835 ",
B28045,Keewatin-Patricia DSB," 1,465 "," 1,348 "," 1,232 "," 1,160 "," 2,697 "," 2,508 ",
B29050,Kenora CDSB, 575 , 607 , 212 , 186 , 787 , 793 ,
B28061,Lakehead DSB," 3,265 "," 3,004 "," 2,029 "," 1,800 "," 5,294 "," 4,804 ",
B66036,Lambton Kent DSB," 7,674 "," 7,363 "," 4,563 "," 4,270 "," 12,237 "," 11,633 ",
B66206,Limestone DSB," 6,877 "," 6,416 "," 4,199 "," 3,960 "," 11,076 "," 10,376 ",
B67032,London District Catholic School Board," 6,374 "," 6,075 "," 4,312 "," 3,900 "," 10,686 "," 9,975 ",
B15199,Moose Factory Island DSAB, 153 , 149 ,,, 153 , 149 ,
B15202,Moosonee DSAB, 125 , 140 ,,, 125 , 140 ,
B28037,Near North DSB," 3,549 "," 3,209 "," 2,150 "," 1,959 "," 5,699 "," 5,168 ",
B67156,Niagara CDSB," 7,947 "," 7,564 "," 4,188 "," 4,009 "," 12,135 "," 11,573 ",
B29017,Nipissing-Parry Sound CDSB," 1,078 "," 1,045 ", 457 , 474 ," 1,535 "," 1,519 ",
B29009,Northeastern CDSB," 1,042 ", 931 , 219 , 237 ," 1,261 "," 1,168 ",
B29041,Northwest CDSB, 693 , 721 ,,, 693 , 721 ,
B67180,Ottawa CDSB," 12,421 "," 11,699 "," 7,734 "," 7,105 "," 20,155 "," 18,804 ",
B66184,Ottawa-Carleton DSB," 24,692 "," 23,472 "," 12,971 "," 12,080 "," 37,663 "," 35,552 ",
B66125,Peel DSB," 56,326 "," 52,362 "," 24,386 "," 21,212 "," 80,712 "," 73,574 ",
B79910,Penetanguishene PSSB, 118 , 108 ,,, 118 , 108 ,
B67067, Peterborough Victoria Northumberland and Clarington CDSB ," 4,747 "," 4,665 "," 2,618 "," 2,514 "," 7,365 "," 7,179 ",
B28029,Rainbow DSB," 4,583 "," 4,115 "," 2,989 "," 2,620 "," 7,572 "," 6,735 ",
B28053,Rainy River DSB, 865 , 866 , 609 , 618 ," 1,474 "," 1,484 ",
B67199,Renfrew County CDSB," 1,815 "," 1,724 ", 544 , 557 ," 2,359 "," 2,281 ",
B66214,Renfrew County DSB," 3,101 "," 2,841 "," 2,109 "," 1,951 "," 5,210 "," 4,792 ",
B66109,Simcoe County DSB," 17,655 "," 16,834 "," 9,545 "," 8,549 "," 27,200 "," 25,383 ",
B67091,Simcoe Muskoka CDSB," 6,727 "," 6,534 "," 4,073 "," 3,949 "," 10,800 "," 10,483 ",
B67040,St Clair CDSB," 3,323 "," 3,167 "," 1,507 "," 1,455 "," 4,830 "," 4,622 ",
B29033,Sudbury CDSB," 2,085 "," 2,064 "," 1,142 "," 1,095 "," 3,227 "," 3,159 ",
B29076,Superior North CDSB, 409 , 319 ,,, 409 , 319 ,
B28070,Superior-Greenstone DSB, 436 , 414 , 474 , 427 , 910 , 841 ,
B66044,Thames Valley DSB," 25,817 "," 24,544 "," 13,595 "," 12,330 "," 39,412 "," 36,874 ",
B29068,Thunder Bay CDSB," 2,882 "," 2,868 "," 1,286 "," 1,262 "," 4,168 "," 4,130 ",
B67059,Toronto CDSB," 30,953 "," 29,856 "," 15,459 "," 15,675 "," 46,412 "," 45,531 ",
B66052,Toronto DSB," 88,266 "," 84,345 "," 45,485 "," 40,500 "," 133,751 "," 124,845 ",
B66087,Trillium Lakelands DSB," 5,674 "," 5,395 "," 3,690 "," 3,358 "," 9,364 "," 8,753 ",
B66192,Upper Canada DSB," 9,368 "," 8,810 "," 6,141 "," 5,905 "," 15,509 "," 14,715 ",
B66117,Upper Grand DSB," 11,160 "," 10,673 "," 6,432 "," 5,818 "," 17,592 "," 16,491 ",
B67148,Waterloo CDSB," 7,596 "," 7,415 "," 3,750 "," 3,468 "," 11,346 "," 10,883 ",
B66176,Waterloo Region DSB," 21,265 "," 20,183 "," 11,275 "," 10,206 "," 32,540 "," 30,389 ",
B67130,Wellington CDSB,2912,2854,1399,1270,4311,4124,
B67024,Windsor-Essex CDSB,7756,7105,4584,4219,12340,11324,
B67075,York CDSB,19232,18351,9468,9062,28700,27413,
B66095,York Region DSB,40725,38139,21435,19079,62160,57218,
