UNIVERSITY,AGE GROUP,HEAD COUNT
Algoma,18 - 24,865
Algoma,25 - 34,184
Algoma,35 - 44,37
Algoma,45 - 54,15
Algoma,TOTAL,"1,106"
Brock,14 - 17,33
Brock,18 - 24,"14,185"
Brock,25 - 34,"1,345"
Brock,35 - 44,197
Brock,45 - 54,75
Brock,55 - 64,12
Brock,TOTAL,"15,854"
Carleton,14 - 17,104
Carleton,18 - 24,"18,672"
Carleton,25 - 34,"2,919"
Carleton,35 - 44,512
Carleton,45 - 54,171
Carleton,55 - 64,50
Carleton,TOTAL,"22,436"
Guelph,14 - 17,43
Guelph,18 - 24,"22,409"
Guelph,25 - 34,"1,962"
Guelph,35 - 44,319
Guelph,45 - 54,155
Guelph,55 - 64,24
Guelph,TOTAL,"24,920"
Lakehead,18 - 24,"5,308"
Lakehead,25 - 34,"1,341"
Lakehead,35 - 44,314
Lakehead,45 - 54,102
Lakehead,55 - 64,22
Lakehead,TOTAL,"7,100"
Laurentian,14 - 17,10
Laurentian,18 - 24,"5,586"
Laurentian,25 - 34,862
Laurentian,35 - 44,204
Laurentian,45 - 54,72
Laurentian,55 - 64,18
Laurentian,TOTAL,"6,753"
McMaster,14 - 17,88
McMaster,18 - 24,"21,383"
McMaster,25 - 34,"3,638"
McMaster,35 - 44,527
McMaster,45 - 54,134
McMaster,55 - 64,23
McMaster,TOTAL,"25,793"
Nipissing,18 - 24,"3,222"
Nipissing,25 - 34,427
Nipissing,35 - 44,91
Nipissing,45 - 54,19
Nipissing,TOTAL,"3,766"
NOSM,18 - 24,89
NOSM,25 - 34,237
NOSM,35 - 44,48
NOSM,45 - 54,10
NOSM,TOTAL,387
OCAD,18 - 24,"3,034"
OCAD,25 - 34,442
OCAD,35 - 44,52
OCAD,45 - 54,26
OCAD,55 - 64,10
OCAD,TOTAL,"3,571"
Ottawa,14 - 17,243
Ottawa,18 - 24,"26,889"
Ottawa,25 - 34,"6,132"
Ottawa,35 - 44,"1,315"
Ottawa,45 - 54,449
Ottawa,55 - 64,92
Ottawa,65 - 74,12
Ottawa,TOTAL,"35,132"
"Queen""s",14 - 17,73
"Queen""s",18 - 24,"17,041"
"Queen""s",25 - 34,"3,088"
"Queen""s",35 - 44,621
"Queen""s",45 - 54,185
"Queen""s",55 - 64,38
"Queen""s",TOTAL,"21,049"
Ryerson,14 - 17,50
Ryerson,18 - 24,"19,014"
Ryerson,25 - 34,"2,936"
Ryerson,35 - 44,528
Ryerson,45 - 54,182
Ryerson,55 - 64,14
Ryerson,TOTAL,"22,728"
Toronto,14 - 17,291
Toronto,18 - 24,"54,863"
Toronto,25 - 34,"14,248"
Toronto,35 - 44,"2,796"
Toronto,45 - 54,783
Toronto,55 - 64,198
Toronto,65 - 74,34
Toronto,TOTAL,"73,215"
Trent,14 - 17,14
Trent,18 - 24,"5,866"
Trent,25 - 34,783
Trent,35 - 44,112
Trent,45 - 54,37
Trent,TOTAL,"6,824"
UOIT,14 - 17,22
UOIT,18 - 24,"7,213"
UOIT,25 - 34,982
UOIT,35 - 44,174
UOIT,45 - 54,71
UOIT,55 - 64,10
UOIT,TOTAL,"8,472"
Waterloo,14 - 17,147
Waterloo,18 - 24,"28,392"
Waterloo,25 - 34,"3,165"
Waterloo,35 - 44,367
Waterloo,45 - 54,94
Waterloo,55 - 64,20
Waterloo,TOTAL,"32,187"
Western,14 - 17,103
Western,18 - 24,"27,163"
Western,25 - 34,"5,053"
Western,35 - 44,871
Western,45 - 54,240
Western,55 - 64,45
Western,TOTAL,"33,486"
Wilfrid Laurier,14 - 17,37
Wilfrid Laurier,18 - 24,"15,216"
Wilfrid Laurier,25 - 34,700
Wilfrid Laurier,35 - 44,148
Wilfrid Laurier,45 - 54,71
Wilfrid Laurier,55 - 64,25
Wilfrid Laurier,TOTAL,"16,203"
Windsor,14 - 17,29
Windsor,18 - 24,"10,907"
Windsor,25 - 34,"2,198"
Windsor,35 - 44,408
Windsor,45 - 54,147
Windsor,55 - 64,16
Windsor,TOTAL,"13,710"
York,14 - 17,96
York,18 - 24,"35,765"
York,25 - 34,"7,436"
York,35 - 44,"1,298"
York,45 - 54,431
York,55 - 64,113
York,65 - 74,24
York,TOTAL,"45,164"
Dominician,18 - 24,27
Dominician,25 - 34,30
Dominician,35 - 44,23
Dominician,45 - 54,11
Dominician,TOTAL,107
TOTAL,,"419,963"
