Board Number,Board Name,Elementary Male,Elementary Female,Secondary Male,Secondary Female,Total Male,Total Female,Total Enrolment
B28010,Algoma DSB,3342,3142,2239,1989,5581,5131,5581
B67202,Algonquin and Lakeshore CDSB,3826,3738,2152,2307,5978,6045,5978
B66010,Avon Maitland DSB,5401,5102,3318,3196,8719,8298,8719
B66001,Bluewater DSB,5996,5610,3365,2989,9361,8599,9361
B67164,Brant Haldimand Norfolk CDSB,3238,3230,1922,2057,5160,5287,5160
B67008,Bruce-Grey CDSB,1247,1140,649,714,1896,1854,1896
B67172,CDSB of Eastern Ontario,4658,4445,2536,2300,7194,6745,7194
B66311,C�P de l'Est de l'Ontario,4287,4262,1824,2161,6111,6423,6111
B66303,CS Viamonde,3579,3813,777,814,4356,4627,4356
B67300,CSD des �coles catholiques du Sud-Ouest,3345,3765,699,888,4044,4653,4044
B28118,CSD du Grand Nord de l'Ontario,769,772,387,362,1156,1134,1156
B28100,CSD du Nord-Est de l'Ontario,718,770,231,222,949,992,949
B67318,CSDC Centre-Sud,5417,5743,1382,1467,6799,7210,6799
B67326,CSDC de l'Est ontarien,3652,3562,1692,1876,5344,5438,5344
B29130,CSDC des Aurores bor�ales,341,292,39,44,380,336,380
B29106,CSDC des Grandes Rivi�res,2151,2225,1119,1078,3270,3303,3270
B67334,CSDC du Centre-Est de l'Ontario,7519,7881,2300,2392,9819,10273,9819
B29122,CSDC du Nouvel-Ontario,2465,2614,946,1074,3411,3688,3411
B29114,CSDC Franco-Nord,959,1012,481,512,1440,1524,1440
B66150,DSB Niagara,12531,11797,7363,6803,19894,18600,19894
B28002,DSB Ontario North East,2324,2133,1945,1684,4269,3817,4269
B67083,Dufferin-Peel CDSB,26102,24734,17732,16691,43834,41425,43834
B67105,Durham CDSB,7438,7033,4355,4094,11793,11127,11793
B66060,Durham DSB,23705,22530,12337,11170,36042,33700,36042
B66168,Grand Erie DSB,9104,8421,5258,4895,14362,13316,14362
B66028,Greater Essex County DSB,12458,11476,6771,5884,19229,17360,19229
B67113,Halton CDSB,10191,9764,5377,4804,15568,14568,15568
B66133,Halton DSB,20259,19405,9762,9001,30021,28406,30021
B67121,Hamilton-Wentworth CDSB,9482,9060,5716,5497,15198,14557,15198
B66141,Hamilton-Wentworth DSB,17703,16621,9265,8143,26968,24764,26968
B66222,Hastings & Prince Edward DSB,5317,5116,3189,2814,8506,7930,8506
B67016,Huron Perth CDSB,1584,1536,706,742,2290,2278,2290
B29025,Huron-Superior CDSB,1925,1830,815,713,2740,2543,2740
B15148,James Bay Lowlands SSB,,,85,100,85,100,85
B66079,Kawartha Pine Ridge DSB,11305,10684,6639,6151,17944,16835,17944
B28045,Keewatin-Patricia DSB,1465,1348,1232,1160,2697,2508,2697
B29050,Kenora CDSB,575,607,212,186,787,793,787
B28061,Lakehead DSB,3265,3004,2029,1800,5294,4804,5294
B66036,Lambton Kent DSB,7674,7363,4563,4270,12237,11633,12237
B66206,Limestone DSB,6877,6416,4199,3960,11076,10376,11076
B67032,London District Catholic School Board,6374,6075,4312,3900,10686,9975,10686
B15199,Moose Factory Island DSAB,153,149,,,153,149,153
B15202,Moosonee DSAB,125,140,,,125,140,125
B28037,Near North DSB,3549,3209,2150,1959,5699,5168,5699
B67156,Niagara CDSB,7947,7564,4188,4009,12135,11573,12135
B29017,Nipissing-Parry Sound CDSB,1078,1045,457,474,1535,1519,1535
B29009,Northeastern CDSB,1042,931,219,237,1261,1168,1261
B29041,Northwest CDSB,693,721,,,693,721,693
B67180,Ottawa CDSB,12421,11699,7734,7105,20155,18804,20155
B66184,Ottawa-Carleton DSB,24692,23472,12971,12080,37663,35552,37663
B66125,Peel DSB,56326,52362,24386,21212,80712,73574,80712
B79910,Penetanguishene PSSB,118,108,,,118,108,118
B67067, Peterborough Victoria Northumberland and Clarington CDSB ,4747,4665,2618,2514,7365,7179,7365
B28029,Rainbow DSB,4583,4115,2989,2620,7572,6735,7572
B28053,Rainy River DSB,865,866,609,618,1474,1484,1474
B67199,Renfrew County CDSB,1815,1724,544,557,2359,2281,2359
B66214,Renfrew County DSB,3101,2841,2109,1951,5210,4792,5210
B66109,Simcoe County DSB,17655,16834,9545,8549,27200,25383,27200
B67091,Simcoe Muskoka CDSB,6727,6534,4073,3949,10800,10483,10800
B67040,St Clair CDSB,3323,3167,1507,1455,4830,4622,4830
B29033,Sudbury CDSB,2085,2064,1142,1095,3227,3159,3227
B29076,Superior North CDSB,409,319,,,409,319,409
B28070,Superior-Greenstone DSB,436,414,474,427,910,841,910
B66044,Thames Valley DSB,25817,24544,13595,12330,39412,36874,39412
B29068,Thunder Bay CDSB,2882,2868,1286,1262,4168,4130,4168
B67059,Toronto CDSB,30953,29856,15459,15675,46412,45531,46412
B66052,Toronto DSB,88266,84345,45485,40500,133751,124845,133751
B66087,Trillium Lakelands DSB,5674,5395,3690,3358,9364,8753,9364
B66192,Upper Canada DSB,9368,8810,6141,5905,15509,14715,15509
B66117,Upper Grand DSB,11160,10673,6432,5818,17592,16491,17592
B67148,Waterloo CDSB,7596,7415,3750,3468,11346,10883,11346
B66176,Waterloo Region DSB,21265,20183,11275,10206,32540,30389,32540
B67130,Wellington CDSB,2912,2854,1399,1270,4311,4124,4311
B67024,Windsor-Essex CDSB,7756,7105,4584,4219,12340,11324,12340
B67075,York CDSB,19232,18351,9468,9062,28700,27413,28700
B66095,York Region DSB,40725,38139,21435,19079,62160,57218,62160
